cryptoPrices,cryptoTimes
47661.10359907502,1631874578670
47657.85796047732,1631874883812
47677.08137460379,1631875206062
47665.7554535515,1631875492812
47474.64973664486,1631875820738
47485.361026801394,1631876092052
47581.86355889785,1631876395127
47584.524669965074,1631876673373
47574.43867848768,1631876990802
47671.56123711096,1631877308091
47696.31747937131,1631877606434
47792.87661575676,1631877874153
47786.98850464549,1631878175730
47764.784431618624,1631878468805
47674.25113911403,1631878798087
47642.237839419126,1631879081086
47473.86551312127,1631879433205
47514.209632777405,1631879694276
47528.184022458874,1631880047507
47528.0977312437,1631880246577
47480.75099130146,1631880599613
47438.55832221034,1631880884712
47519.64120164048,1631881200418
47544.70162481692,1631881499087
47603.255809197835,1631881817324
47633.61300870651,1631882086808
47633.17599461934,1631882343833
47582.08906521694,1631882684511
47640.54243897356,1631882982940
47570.34472164046,1631883297776
47532.55056217286,1631883616288
47532.796457985685,1631883855177
47475.729556914324,1631884204560
47505.81327977386,1631884489807
47512.78662924085,1631884778791
47454.510368004914,1631885129585
47436.72704049782,1631885412666
47485.227417697104,1631885706770
47454.12029587111,1631885988485
47458.08218910331,1631886281930
47467.523082319225,1631886613424
47488.87355406675,1631886915813
47467.47280788652,1631887165182
47420.67885700948,1631887485087
47441.22378672948,1631887769838
47521.78672157408,1631888124053
47565.33655855729,1631888372567
47621.01855999292,1631888664353
47643.63660798438,1631888981992
47609.58253293881,1631889311614
47566.40289903969,1631889605421
47527.11302243502,1631889886918
47473.08639263836,1631890250823
47489.541495795514,1631890463801
47528.27957001489,1631890787755
47599.713304371784,1631891076269
47622.64024266316,1631891417004
47690.224367175695,1631891700222
47678.31457955425,1631892002140
47682.140613737196,1631892274532
47704.207075693,1631892588092
47648.30940984448,1631892892631
47632.69654702156,1631893233011
47639.12500156256,1631893497618
47674.48230479957,1631893744827
47671.1023872567,1631894087420
47637.96574554958,1631894388121
47609.30807503731,1631894679844
47504.3255841882,1631894999380
47548.642052254894,1631895267219
47653.29350074998,1631895600580
47677.35331160719,1631895876124
47725.24091181948,1631896163144
47767.08116703286,1631896464022
47812.236374291424,1631896859720
47857.84170870336,1631897125317
47774.44155394441,1631897438339
47778.86830045473,1631897691062
47760.20770526485,1631897984706
47770.521742745936,1631898258325
47780.23986504797,1631898545583
47742.39998819337,1631898847483
47741.82476192845,1631899174399
47657.60437214943,1631899506207
47656.57147361713,1631899768519
47650.60797401314,1631900092765
47653.20673405716,1631900383039
47629.881723956605,1631900659800
47622.702536251796,1631901054755
47467.0410079892,1631901297057
47431.99803513469,1631901597614
47399.32964909735,1631901867523
47371.167567230004,1631902180070
47325.738288686065,1631902479093
47071.63872199433,1631902790111
47072.3720895403,1631903084911
47009.936099075756,1631903415570
47044.71487525962,1631903711967
46988.63246192987,1631903998924
47067.31112543307,1631904295643
47137.025352948556,1631904562726
47207.60646450234,1631904912638
47302.36295996359,1631905198001
47427.11497267106,1631905482463
47312.8799116524,1631905819330
47278.988533574775,1631906113775
47331.38885749131,1631906392421
47347.168337905285,1631906701152
47385.235115252675,1631907004126
47411.630840245416,1631907295119
47445.06695882469,1631907638317
47467.90667514337,1631907897881
47504.897733694015,1631908208676
47499.95798110852,1631908466027
47563.215982755566,1631908860713
47602.306303704936,1631909117603
47631.89768056189,1631909420061
47611.835531057375,1631909701599
47545.82344080817,1631909985059
47494.01056924093,1631910295565
47425.98956775479,1631910623918
47271.61737260663,1631910872126
47284.75496916736,1631911203303
47294.5985277775,1631911476750
47295.919815915004,1631911790999
47282.95960022104,1631912066386
47261.35964518745,1631912342282
47199.57299708376,1631912689811
47062.46743944606,1631912996436
47113.524183859896,1631913274592
47111.80752450517,1631913596452
47160.715425114184,1631913849162
47178.83094199772,1631914234287
47278.28432807319,1631914490685
47327.41296618933,1631914825401
47345.31358407836,1631915098128
47299.64871241964,1631915386279
47368.88015621231,1631915698097
47415.70196120277,1631915984495
47541.280638337754,1631916286773
47535.29312468062,1631916611787
47535.50446208717,1631916917546
47541.26682427941,1631917192364
47511.23206356235,1631917506592
47478.61441086451,1631917794686
47479.626637493806,1631918115295
47444.91162932811,1631918394580
47473.65771995581,1631918691337
