twitterText,date
"RT @DFINITYDev: Voting for the direct integration with #BTC proposal is live now. 👀🗳️

Over the next 48 hours, the community of $ICP token…",2021-09-17T10:38:01.000Z
"RT @MetinKsa5: ! Çekiliş Var !

3 kişiye toplamda 600 TL hediye!

1) @MetinKsa5 takip et
2)Bu tweeti ""Beğen ve Retweet"" yap

Çekiliş 2 gün…",2021-09-17T10:37:59.000Z
"RT @KhaleesiSamurai: $MXS.X  

▫️♦️◻️ There’s just something about a Samurai woman ◻️♦️▫️  

⚔️ Join us today ⚔️ 

🔴 Telegram: https://t.co…",2021-09-17T10:37:58.000Z
"RT @LXsBsC: LeXaS Giveaway!
$100K LXS Giveaway
Total Pool Prize: $100K 

$100K worth of LXS tokens will be distributed to all users who com…",2021-09-17T10:37:58.000Z
"RT @RockstarDogeBSC: OUR WHITEPAPER 🤗🎤📄

https://t.co/NcbvR9RWt1

https://t.co/jFiorxlUn1

#ROCKSTARDOGE #dogecoin #doge #Binance #BinanceS…",2021-09-17T10:37:57.000Z
#btc güçlü destekteyiz. Ancak kırılım gelirse ilk destek altpembe hat 43 k bölgesi. Dirençler ise üst pempe ve yeşil hatlar https://t.co/B5AZIWJOdr,2021-09-17T10:37:57.000Z
"RT @LXsBsC: LeXaS Giveaway!
$100K LXS Giveaway
Total Pool Prize: $100K 

$100K worth of LXS tokens will be distributed to all users who com…",2021-09-17T10:37:56.000Z
"@MahdiMRFEG @elonmusk 🦍Who is he?
Satoshi Nakamoto  #Fegrox
@lifeisdefi .@FEGtoken
#FEGexYourFiat #SmartLend #SmartDefi #AutoDeployer $ROX #FegDeployer #StakeOnFEGex #FEG #FEGexV2 #IAMFEG #FEGRox #SatoshiNakamoto #BTC #Defi $FEG #ListOnFEGex #BringingDeFiTogether
❤️🤯1 https://t.co/zRetsBijG9",2021-09-17T10:37:55.000Z
Hmmm ❌🚨❌🩸 #BTC  #eth https://t.co/lKIjgZJ5Lt,2021-09-17T10:37:54.000Z
"Good project 

@Moni57713113

@Ramesh71359403

@Monsha00797352 

@Ramesh71359403
 
@Pali09048021

#BNB #Airdrops  #cryptocurrency  #Binance #BSC  #Bitcoin #BTC #giveaway #Airdrop https://t.co/5Oo8IjigID",2021-09-17T10:37:54.000Z
RT @Humaira52758898: @Nq99Nadeem @crypto_deb @cz_binance @elonmusk @bsc_daily @bscgems_news Great opportunity from Unitycol everyone should…,2021-09-17T10:37:53.000Z
"RT @RockstarDogeBSC: A Cooool Youtube Video is live now!
Check it out! 📺💯❤️‍🔥🆒🆕

#ROCKSTARDOGE #BSC #BSCGems #BinanceSmartChain #Binance #B…",2021-09-17T10:37:53.000Z
"RT @crypt_zon: 【ZON✖︎斉木くん コラボプレゼント企画🎁】

ZON 選べる新企画第12回🎉

🐘プレゼント内容
・ 30万円分 選べる！
(#ETH or #BTC or #XRP )

🐘応募条件
・ @crypt_zon のフォロー
・@SaikiCry…",2021-09-17T10:37:52.000Z
"#BTC 

いつ止まるん？",2021-09-17T10:37:51.000Z
