"iso","umd_tree_cover_extent_2010__ha","area__ha"
"ABW",23.750655209948125,18197.51125791712
"AFG",71796.79008990753,64385715.38637239
"AGO",53847200.67031186,124742297.51717131
"AIA",1390.8520563151656,8332.247766098953
"ALA",103074.04037861324,150643.19897168287
"ALB",589016.7298491468,2873537.2072491082
"AND",18961.946849673717,45196.41073187879
"ARE",0.0,7120447.90264668
"ARG",38380241.19366376,278010122.0692745
"ARM",248991.66136062518,2969008.6799906534
"ATF",160.16429092034565,4361.769312737578
"ATG",19975.907931575955,43575.658421296386
"AUS",39480481.56608321,768791339.546722
"AUT",4348982.198886454,8385801.905500827
"AZE",1082393.8624855643,8623532.539269038
"BDI",553131.1240551634,2693531.44182174
"BEL",890289.1779625639,3070744.164066904
"BEN",435562.7330006615,11542318.344422985
"BES",3737.010311819476,32365.98588799593
"BFA",2238.82623061347,27341710.74521859
"BGD",2216745.213397744,13938437.483009148
"BGR",3957411.760739285,11158730.954923011
"BHR",0.0,71517.71355015422
"BHS",344168.1665630695,1338762.5799054073
"BIH",2579843.087534438,5106883.294355494
"BLM",559.7921179177514,2468.524817348379
"BLR",9486572.036481205,20706912.088082746
"BLZ",1739556.5804352188,2187158.3707049345
"BMU",780.3749919909435,6808.118594281821
"BOL",62714152.822952785,108339284.56962669
"BRA",498198381.95378304,850035649.7393805
"BRB",6350.9290345963955,43466.14610413839
"BRN",528769.5582844178,577778.7738791939
"BTN",2508702.847937954,3876296.122153533
"BWA",4580.8274484822305,57788401.20902572
"CAF",47240766.01737897,62019959.33841989
"CAN",420479807.15292376,901410145.9689875
"CHE",1554422.6833867352,4124549.641870183
"CHL",20796593.485913973,75735291.61001253
"CHN",154440710.57471886,938223515.6921781
"CIV",13953283.814437414,32165794.108116172
"CMR",30543473.769655645,46604005.88969168
"COD",198452936.04146025,232912780.76088542
"COG",26636720.130640868,34173222.79362486
"COL",81738197.69746211,113675874.94466364
"COM",132154.42801023292,167304.82830116124
"CPV",6766.62428558116,409097.9066020695
"CRI",3869962.94256855,5117666.8216261305
"CUB",4239756.463205989,11073122.023192802
"CUW",4570.64110215057,43776.987392599694
"CYM",14365.124286095726,28039.828707533874
"CYP",91627.96535285185,571955.8559029421
"CZE",3225755.2611265294,7883558.88597378
"DEU",12781381.964124309,35783855.98693655
"DJI",0.0,2186335.764996811
"DMA",70693.81104880087,75428.07801477362
"DNK",720289.6287137287,4314471.980848109
"DOM",2454726.9016529485,4809195.188376463
"DZA",821605.8292972646,124831323.1613729
"ECU",19227279.526112247,25611545.509024564
"EGY",143311.89790280588,98376439.43312633
"ERI",43.01962271657595,12045733.197588155
"ESH",0.0,26732059.55214722
"ESP",10435459.380464755,50604278.84108601
"EST",2725544.0236591483,4548974.012677882
"ETH",12361077.936273372,112951806.95088336
"FIN",22817318.598275658,33693917.99093698
"FJI",1418743.5845193313,1808230.972168348
"FLK",16829.92791915962,1239764.2697590562
"FRA",16838139.2170494,54951497.532281004
"FSM",6205.9419014255,10266.9444925675
"GAB",24699923.142628707,26454969.882697593
"GBR",4983206.76943939,24388547.28162836
"GEO",2989946.7715355754,6984457.386674284
"GGY",1936.2395429620085,8844.937559008029
"GHA",7034626.878668901,23832413.12140908
"GIB",113.92347068824256,721.216465882224
"GIN",8023663.689702852,24481606.683522355
"GLP",101680.9845213234,165028.80176987703
"GMB",3885.4544251136717,1067050.7519441885
"GNB",1126587.4796939956,3388205.0046144743
"GNQ",2630327.865618196,2695935.3382934895
"GRC",3620382.077093531,13257505.410983719
"GRD",27554.23000117833,35953.33668168247
"GRL",0.0,5.104376985939379
"GTM",7034116.817435626,10915098.49020859
"GUF",8157813.505991554,8330096.726529245
"GUY",19052059.82642012,20974416.138354767
"HKG",62931.92448273907,112913.21583201544
"HND",7554765.964520865,11228979.897587491
