"tree_cover_loss_drivers__type","tree_cover_loss__year","tree_cover_loss_","gross_emissions_co2e_all_gases_Mg"
"Commodity driven deforestation",2001,3360285.812893447,1574991710.916688
"Commodity driven deforestation",2002,4237507.660783978,2123999558.7657795
"Commodity driven deforestation",2003,3892338.3579222574,1856202609.1750467
"Commodity driven deforestation",2004,5554804.984570475,2935351790.179023
"Commodity driven deforestation",2005,5054306.115528418,2813565169.348296
"Commodity driven deforestation",2006,4563208.784290014,2538174193.4165077
"Commodity driven deforestation",2007,4882340.393392188,2621115879.9398823
"Commodity driven deforestation",2008,4843854.422233161,2557764465.1967916
"Commodity driven deforestation",2009,5064886.780241623,2868137498.8775086
"Commodity driven deforestation",2010,5222072.213136302,2840173043.7025743
"Commodity driven deforestation",2011,4924843.633940403,2731563035.042953
"Commodity driven deforestation",2012,6465955.980972345,3715040302.609872
"Commodity driven deforestation",2013,4063569.603812325,2245599142.8623023
"Commodity driven deforestation",2014,5722549.449201276,3256005225.961387
"Commodity driven deforestation",2015,4937988.93235627,2815900735.723984
"Commodity driven deforestation",2016,8519116.457980135,4833701288.171231
"Commodity driven deforestation",2017,6781757.74837395,3714456135.014556
"Commodity driven deforestation",2018,5053807.524008181,2826275204.04683
"Commodity driven deforestation",2019,5191350.979536056,2911877154.338735
"Commodity driven deforestation",2020,5058481.810628286,2828288808.9629126
"Forestry",2001,4582731.156421422,1372822387.372739
"Forestry",2002,4734350.452117832,1430512251.9442132
"Forestry",2003,4166286.496635654,1287487782.9271355
"Forestry",2004,6213769.3390933955,2013092363.54006
"Forestry",2005,5942903.894060658,1977282963.5332186
"Forestry",2006,5871690.756432354,2056900161.022781
"Forestry",2007,6162214.421125108,2208026219.9445558
"Forestry",2008,6110719.775046152,2247914329.803608
"Forestry",2009,5348819.672900847,1997269060.996402
"Forestry",2010,5807703.735735644,2235534575.1555114
"Forestry",2011,5758133.008968819,2174438019.888202
"Forestry",2012,6553821.093014905,2555452133.4502206
"Forestry",2013,5152815.382616099,2141537417.8221328
"Forestry",2014,5965158.289948905,2581462973.5930815
"Forestry",2015,5472995.386785377,2395905890.28405
"Forestry",2016,7570804.797208944,3356978290.6006675
"Forestry",2017,7813276.929657224,3457766075.1433744
"Forestry",2018,6752194.539407778,3074786490.742655
"Forestry",2019,6860457.936476561,3002272492.788677
"Forestry",2020,6674018.423853213,2934770802.844742
"Shifting agriculture",2001,2871925.8710991,1269244400.7712345
"Shifting agriculture",2002,3007098.685838692,1362183105.3386612
"Shifting agriculture",2003,2304546.854987813,1004368812.2017468
"Shifting agriculture",2004,2666893.1967528528,1222395643.2640367
"Shifting agriculture",2005,3195427.4970039264,1484644465.7402213
"Shifting agriculture",2006,3013690.2002059245,1398898146.3022459
"Shifting agriculture",2007,3461302.969048447,1607654773.6480656
"Shifting agriculture",2008,3394056.5415887195,1561198789.348692
"Shifting agriculture",2009,3736052.196052626,1798844700.1189952
"Shifting agriculture",2010,4031440.930512484,1979435987.8319097
"Shifting agriculture",2011,3147293.0292668263,1522408024.7323518
"Shifting agriculture",2012,3969997.8072429644,1953616148.1621265
"Shifting agriculture",2013,4553063.025869793,2294907814.2464805
"Shifting agriculture",2014,5944120.29026171,3056181279.8739824
